age	inflection
53	55.3191489361702
76	45.6521739130435
21	38.7755102040816
56	41.5584415584416
58	51.1627906976744
70	48.3173076923077
70	52.7720739219713
71	50.0
71	65.5737704918033
23	44.1860465116279
71	38.0952380952381
70	31.25
71	47.1153846153846
56	84.0
46	81.8181818181818
53	50.9433962264151
58	55.5555555555556
53	36.3636363636364
58	25.0
56	22.6666666666667
56	76.3888888888889
70	27.2727272727273
22	84.2105263157895
21	35.5555555555556
22	58.1395348837209
58	57.5
71	37.7049180327869
20	47.7272727272727
83	21.4285714285714
53	51.219512195122
76	44.7368421052632
56	50.7936507936508
70	39.4736842105263
58	24.1379310344828
56	37.5
83	37.5959079283887
53	56.0
71	36.3057324840764
83	22.7166276346604
53	45.8333333333333
58	37.5
53	46.6666666666667
46	86.6666666666667
22	47.6190476190476
53	40.5405405405405
58	60.0
22	47.6190476190476
56	58.3333333333333
76	46.3414634146341
23	56.0
22	56.25
23	56.4102564102564
22	58.5365853658537
76	46.4285714285714
20	48.1481481481482
56	50.9803921568627
71	36.3636363636364
22	42.0
76	44.4444444444444
46	66.1971830985916
70	52.7186761229314
70	43.217665615142
53	39.1304347826087
22	46.3414634146341
22	44.7368421052632
22	42.5531914893617
20	28.8888888888889
83	28.6937901498929
76	28.9473684210526
23	50.0
83	38.6363636363636
71	29.0909090909091
83	46.4788732394366
23	60.7142857142857
83	30.2325581395349
23	51.4285714285714
23	56.8181818181818
22	48.0
22	59.0909090909091
21	25.0
22	62.5
58	51.3513513513513
23	36.8421052631579
22	37.5
70	52.9652351738241
76	45.4545454545455
56	43.0379746835443
71	46.6666666666667
20	75.5102040816327
56	50.9433962264151
23	58.8235294117647
71	0.0
56	54.6875
71	46.6666666666667
58	52.1739130434783
20	41.4634146341463
56	41.1764705882353
58	59.5238095238095
56	39.2156862745098
23	64.406779661017
22	57.4468085106383
23	54.7169811320755
53	31.4814814814815
58	44.6808510638298
22	56.6037735849057
56	51.6666666666667
22	50.0
53	45.8333333333333
22	47.2222222222222
83	33.6188436830835
22	40.0
46	37.5
56	85.9649122807018
58	52.7777777777778
58	52.6315789473684
22	18.9189189189189
22	29.7297297297297
71	41.958041958042
23	50.0
53	60.7142857142857
71	28.8461538461538
71	36.3636363636364
46	53.4883720930233
53	41.6666666666667
76	50.0
83	58.5365853658537
23	58.974358974359
58	29.0322580645161
56	47.8260869565217
22	80.0
71	47.2972972972973
76	20.5882352941176
22	44.1176470588235
22	44.1860465116279
70	48.7179487179487
56	53.8461538461538
76	48.7179487179487
71	61.9047619047619
53	50.0
56	100.0
53	38.8888888888889
53	69.2307692307692
76	51.219512195122
58	60.9756097560976
83	14.3468950749465
53	17.0731707317073
23	51.2820512820513
71	33.9853300733496
22	44.4444444444444
83	35.7142857142857
58	59.1836734693877
71	37.5
83	45.0549450549451
20	20.0
58	42.8571428571429
70	51.4563106796116
83	5.40540540540541
76	51.3513513513513
56	0.0
58	55.5555555555556
83	3.15457413249211
53	36.5853658536585
22	25.0
83	42.5
53	52.0833333333333
58	29.7872340425532
20	50.9433962264151
70	43.2432432432432
53	48.0
23	41.1764705882353
22	62.0
71	38.8888888888889
22	84.4444444444444
58	32.4324324324324
76	52.6315789473684
71	51.063829787234
23	52.6315789473684
23	57.1428571428571
22	63.4146341463415
23	47.7272727272727
22	32.3529411764706
76	32.3529411764706
22	55.3191489361702
71	33.3333333333333
